"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"712",48,"No","Travel_Rarely","Research & Development",2,1,"Life Sciences",712,"Male",2,"Research Scientist","Single",28190,1,20,0,11,2,10,0,8,4,4,3,2,4,7.62439049586777,19,31,3
"713",27,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",713,"Female",2,"Laboratory Technician","Married",48510,8,18,0,5,2,1,0,0,3,4,3,3,3,7.11714318921432,22,0,3
"714",51,"No","Travel_Rarely","Research & Development",4,1,"Medical",714,"Female",3,"Manufacturing Director","Single",40280,3,14,0,29,3,5,0,3,4,2,2,3,3,7.46934654919236,34,6,3
"715",18,"No","Non-Travel","Research & Development",1,4,"Medical",715,"Male",2,"Sales Executive","Single",27200,1,22,1,0,2,0,0,0,4,4,4,3,4,7.89032786885246,17,87,3
"716",35,"No","Travel_Rarely","Research & Development",1,4,"Other",716,"Female",2,"Research Director","Married",81200,0,13,0,10,2,9,0,0,4,4,3,2,3,7.17593643862203,32,1,4
"717",27,"No","Travel_Frequently","Research & Development",26,4,"Medical",717,"Female",1,"Research Director","Single",46470,3,17,0,8,3,6,0,0,4,4,3,4,3,7.3589580403188,24,2,3
"718",55,"Yes","Travel_Rarely","Research & Development",19,3,"Technical Degree",718,"Male",1,"Human Resources","Single",46800,6,14,3,24,0,19,3,8,1,3,2,4,3,8.70984110653864,18,240,3
"719",56,"No","Travel_Rarely","Research & Development",24,4,"Life Sciences",719,"Male",2,"Laboratory Technician","Married",32210,4,15,2,33,2,19,15,9,4,2,3,3,3,10.3965094562648,26,235,3
"720",34,"No","Non-Travel","Sales",1,2,"Life Sciences",720,"Male",2,"Research Scientist","Divorced",86210,1,17,1,5,1,5,0,0,1,3,3,3,3,6.40072412155746,27,0,3
"721",40,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",721,"Male",2,"Sales Executive","Divorced",45770,5,11,1,15,3,12,11,8,2,3,3,2,3,6.5032038606403,25,0,3
"722",34,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",722,"Male",1,"Research Scientist","Married",45530,4,18,1,10,2,8,7,7,2,3,3,4,3,7.22785018993352,27,0,3
"723",31,"Yes","Travel_Frequently","Research & Development",2,2,"Medical",723,"Female",2,"Manufacturing Director","Single",53960,7,17,1,3,2,1,0,0,3,4,4,1,3,7.6868370681606,23,32,3
"724",35,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",724,"Male",1,"Manufacturing Director","Married",67960,0,13,0,5,2,4,3,2,4,3,2,3,3,9.13640848317197,20,241,3
"725",38,"No","Travel_Frequently","Research & Development",7,3,"Medical",725,"Female",2,"Sales Representative","Divorced",76250,1,15,0,4,2,4,0,3,4,3,3,2,3,6.39294616519174,35,0,3
"726",34,"No","Travel_Rarely","Research & Development",10,4,"Other",726,"Female",2,"Laboratory Technician","Single",74120,1,24,0,14,4,14,4,11,3,4,4,3,4,7.91188960419647,28,83,3
"727",28,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",727,"Female",2,"Healthcare Representative","Married",111590,1,12,0,5,2,5,0,4,3,1,3,3,3,6.72228157644824,27,0,3
"728",31,"Yes","Travel_Rarely","Research & Development",15,2,"Life Sciences",728,"Male",2,"Sales Executive","Married",49600,1,15,0,10,3,10,6,7,4,3,2,2,3,10.8955427708043,22,239,4
"729",39,"No","Travel_Rarely","Research & Development",17,4,"Technical Degree",729,"Female",2,"Healthcare Representative","Married",104750,3,11,1,8,3,5,1,4,1,4,4,3,3,10.2522008547009,14,247,3
"730",51,"No","Travel_Frequently","Research & Development",20,3,"Medical",730,"Male",2,"Sales Executive","Married",148140,2,11,1,14,2,4,3,2,2,2,3,2,3,7.11184983017952,32,0,3
"731",41,"No","Travel_Frequently","Research & Development",1,3,"Life Sciences",731,"Male",4,"Sales Executive","Divorced",191410,3,12,1,12,2,6,3,3,4,4,2,3,3,10.6807773109244,23,238,3
"732",37,"No","Travel_Rarely","Research & Development",2,2,"Medical",732,"Female",1,"Healthcare Representative","Married",54050,7,15,0,8,3,6,1,3,3,3,3,4,3,10.3970798319328,23,238,3
"733",33,"No","Travel_Frequently","Research & Development",2,3,"Medical",733,"Female",1,"Sales Executive","Married",87930,6,17,0,8,2,5,1,2,2,4,4,3,3,7.77955902777778,21,55,3
"734",32,"No","Travel_Rarely","Research & Development",1,4,"Medical",734,"Male",5,"Research Director","Married",191890,0,12,1,4,3,3,1,2,3,2,2,3,3,10.4061518199234,29,232,3
"735",39,"No","Non-Travel","Research & Development",29,2,"Life Sciences",735,"Male",2,"Sales Executive","Married",38750,3,15,0,13,3,6,0,5,3,3,3,3,3,6.61360762436076,22,0,3
"737",52,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",737,"Male",2,"Sales Executive","Married",117130,2,14,0,24,2,5,0,2,4,3,2,3,3,9.1055813408345,24,237,3
"738",43,"No","Travel_Rarely","Research & Development",2,2,"Medical",738,"Male",1,"Laboratory Technician","Single",78610,1,14,2,20,1,20,1,8,1,3,1,3,3,9.72064659197012,23,238,3
"739",27,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences",739,"Male",1,"Human Resources","Married",37080,1,16,2,6,2,6,4,4,4,4,3,3,3,10.3244865319865,30,231,3
"740",27,"Yes","Travel_Rarely","Research & Development",2,5,"Life Sciences",740,"Female",1,"Research Scientist","Single",137700,1,18,1,8,3,8,7,7,4,3,3,4,3,9.99771668971876,20,241,3
"741",26,"No","Travel_Rarely","Research & Development",2,2,"Other",741,"Male",3,"Laboratory Technician","Single",53040,0,20,1,5,2,4,1,1,1,4,3,3,4,6.29689012345679,36,0,4
"742",42,"No","Travel_Rarely","Sales",23,3,"Marketing",742,"Female",3,"Research Scientist","Married",26420,0,13,1,21,3,20,0,9,3,1,3,3,3,6.07525668073136,24,0,3
"743",52,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",743,"Female",1,"Healthcare Representative","Married",27590,9,18,1,12,6,5,0,4,3,1,1,3,3,6.47824704491726,26,0,3
"744",37,"No","Travel_Rarely","Research & Development",20,5,"Life Sciences",744,"Male",2,"Manager","Single",68040,4,13,1,8,1,3,0,2,1,3,3,3,3,7.52220652173913,31,16,3
"745",35,"No","Travel_Frequently","Research & Development",6,4,"Medical",745,"Female",2,"Research Director","Single",61420,2,15,1,10,2,2,2,2,3,4,3,3,3,7.68603985507246,31,30,3
"746",25,"No","Travel_Rarely","Research & Development",1,4,"Medical",746,"Male",2,"Sales Executive","Married",25000,4,14,2,7,2,3,0,2,1,4,2,1,3,7.97266812865497,33,104,3
"747",26,"No","Travel_Rarely","Research & Development",29,4,"Life Sciences",747,"Male",1,"Research Scientist","Single",63890,0,22,0,8,2,7,0,7,3,1,3,2,4,6.80587578845221,32,0,4
"748",29,"No","Travel_Rarely","Sales",9,3,"Life Sciences",748,"Male",1,"Laboratory Technician","Single",111030,1,12,0,10,5,10,0,9,2,1,2,2,3,6.21792761641309,20,0,3
"749",49,"Yes","Travel_Frequently","Sales",6,5,"Medical",749,"Female",2,"Healthcare Representative","Single",23420,3,18,0,20,2,4,1,3,1,1,3,3,3,7.08306722689076,23,0,3
"750",29,"Yes","Travel_Frequently","Sales",3,2,"Marketing",750,"Female",2,"Laboratory Technician","Single",68110,0,15,1,9,2,8,7,7,3,4,3,3,3,8.58457666181465,32,224,3
"751",54,"No","Travel_Rarely","Sales",1,3,"Medical",751,"Female",2,"Manager","Single",22970,6,18,2,29,2,20,12,7,4,4,2,2,3,6.19813768115942,31,0,3
"752",58,"No","Travel_Rarely","Sales",22,3,"Life Sciences",752,"Female",2,"Laboratory Technician","Married",24500,3,12,1,32,2,9,1,5,4,1,3,3,3,10.6123995031617,15,246,3
"753",55,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",753,"Female",3,"Research Scientist","Divorced",50930,2,16,1,31,3,7,0,0,2,4,4,3,3,7.48330948974726,28,5,3
"754",36,"No","Travel_Rarely","Research & Development",1,3,"Medical",754,"Male",2,"Sales Executive","Single",53090,3,13,0,15,5,5,0,1,1,2,3,3,3,9.40189458689459,27,234,4
"755",31,"Yes","Travel_Frequently","Sales",4,3,"Life Sciences",755,"Male",2,"Manager","Single",30570,1,19,0,1,3,1,0,0,2,3,3,3,3,7.30347337962963,21,2,3
"756",30,"No","Travel_Rarely","Sales",3,3,"Life Sciences",756,"Male",3,"Sales Executive","Divorced",51210,7,13,0,8,4,3,0,2,4,1,3,3,3,7.53879931972789,16,11,4
"757",31,"No","Travel_Rarely","Research & Development",1,3,"Medical",757,"Male",1,"Laboratory Technician","Single",168560,3,12,1,9,3,3,1,0,1,2,4,3,3,7.29143361581921,25,2,3
"758",34,"No","Travel_Frequently","Sales",2,1,"Marketing",758,"Female",5,"Manager","Divorced",26860,5,11,0,10,3,4,1,3,4,1,3,4,3,7.60315667641326,33,19,3
"759",31,"Yes","Travel_Rarely","Sales",20,3,"Technical Degree",759,"Male",1,"Research Scientist","Single",61800,1,14,1,1,2,1,0,0,1,2,4,1,3,8.03870726495727,27,123,3
"760",27,"No","Travel_Rarely","Human Resources",11,4,"Medical",760,"Male",4,"Sales Executive","Married",66320,0,16,0,6,3,5,1,4,2,1,4,3,3,7.18969935985368,18,0,3
"761",36,"No","Travel_Rarely","Sales",1,3,"Marketing",761,"Male",2,"Research Scientist","Single",35050,1,12,2,10,2,10,1,8,1,4,2,2,3,6.32930905695612,23,0,3
"762",36,"No","Travel_Rarely","Research & Development",24,3,"Other",762,"Female",3,"Research Director","Married",63970,4,14,1,11,3,3,0,2,3,1,2,3,3,7.31613265306122,16,1,3
"763",47,"No","Travel_Rarely","Research & Development",23,4,"Life Sciences",763,"Female",2,"Sales Executive","Married",62740,7,14,2,17,0,6,1,2,1,4,2,3,3,7.78932137834037,24,52,3
"764",25,"Yes","Travel_Rarely","Sales",16,4,"Life Sciences",764,"Male",2,"Research Scientist","Married",198590,3,19,0,6,3,3,2,2,1,1,3,2,3,7.22142170651664,24,0,3
"765",37,"No","Non-Travel","Sales",8,4,"Medical",765,"Male",1,"Healthcare Representative","Single",75870,0,22,1,7,5,6,1,3,3,3,1,3,4,7.60353719599428,28,24,3
"766",56,"No","Travel_Rarely","Research & Development",10,4,"Other",766,"Male",2,"Sales Representative","Married",42580,2,16,0,5,2,3,1,0,1,1,4,3,3,6.6234063697318,29,0,3
"767",47,"No","Travel_Rarely","Research & Development",3,2,"Medical",767,"Male",2,"Laboratory Technician","Married",43640,3,11,1,26,3,20,5,6,1,3,4,3,3,6.29967381281697,20,0,3
"768",24,"No","Travel_Rarely","Research & Development",5,1,"Other",768,"Male",1,"Manufacturing Director","Married",43350,1,15,1,5,5,5,0,3,4,3,3,3,3,9.67537900188324,25,236,3
"769",32,"No","Travel_Rarely","Sales",4,3,"Marketing",769,"Male",1,"Research Scientist","Married",53260,4,14,1,7,2,4,0,3,4,4,2,3,3,7.48516526019691,24,9,3
"770",34,"No","Travel_Rarely","Research & Development",9,2,"Medical",770,"Male",1,"Sales Executive","Married",32800,5,13,0,7,3,5,0,2,4,2,2,3,3,6.10187958883994,34,0,4
"771",41,"No","Travel_Rarely","Research & Development",26,3,"Medical",771,"Female",3,"Sales Executive","Married",54850,2,17,2,7,2,4,0,3,2,3,2,3,3,10.4991815272062,18,243,3
"772",40,"No","Non-Travel","Sales",3,2,"Life Sciences",772,"Male",1,"Sales Executive","Divorced",43420,3,11,1,11,6,8,0,7,3,3,4,2,3,6.39074758454106,31,0,3
"773",31,"No","Travel_Rarely","Research & Development",16,3,"Medical",773,"Male",2,"Human Resources","Divorced",27820,1,19,1,13,5,13,9,9,1,4,3,3,3,6.67634047948363,20,0,3
"774",46,"Yes","Travel_Rarely","Research & Development",18,1,"Medical",774,"Male",1,"Manufacturing Director","Divorced",59800,4,11,1,28,2,7,4,3,1,4,4,3,3,6.66714052287582,23,0,3
"775",39,"Yes","Non-Travel","Research & Development",2,4,"Medical",775,"Male",2,"Manufacturing Director","Single",43810,2,15,2,11,1,1,0,0,1,1,4,2,3,9.4125971650663,18,243,3
"776",31,"Yes","Travel_Frequently","Sales",2,3,"Medical",776,"Male",2,"Sales Executive","Single",25720,1,13,3,10,3,10,4,7,3,2,3,3,3,6.8077704997574,32,0,3
"777",45,"No","Travel_Rarely","Sales",10,2,"Marketing",777,"Male",1,"Sales Executive","Divorced",38330,2,14,0,24,1,7,0,7,2,1,3,3,3,10.501073286052,26,235,3
"778",31,"No","Travel_Rarely","Research & Development",16,4,"Life Sciences",778,"Male",3,"Human Resources","Single",42440,9,13,0,8,3,3,0,2,4,2,3,3,3,6.64955752212389,35,0,3
"779",31,"Yes","Travel_Frequently","Research & Development",7,4,"Life Sciences",779,"Male",1,"Laboratory Technician","Married",65000,6,23,1,7,5,2,2,2,2,4,1,3,4,10.3084442158208,18,243,3
"780",45,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",780,"Female",1,"Research Scientist","Married",184300,4,12,1,10,5,3,1,2,2,4,4,3,3,10.6115503323837,27,234,3
"781",48,"No","Travel_Rarely","Research & Development",24,3,"Technical Degree",781,"Male",2,"Research Scientist","Divorced",16010,4,12,0,15,3,2,2,2,3,1,3,3,3,7.11904491725768,26,0,3
"782",34,"Yes","Travel_Rarely","Research & Development",7,4,"Medical",782,"Male",2,"Research Scientist","Married",26940,1,16,1,2,3,2,2,2,1,3,3,3,3,7.40566239316239,27,8,3
"783",40,"No","Non-Travel","Research & Development",25,4,"Other",783,"Female",1,"Sales Executive","Divorced",31490,2,15,1,16,1,9,4,8,4,2,3,2,3,8.03387511478421,19,138,3
"784",28,"No","Travel_Rarely","Research & Development",1,2,"Technical Degree",784,"Female",1,"Research Scientist","Single",176390,0,13,1,6,0,5,1,3,4,1,3,3,3,6.48894134477825,28,0,3
"785",44,"No","Non-Travel","Research & Development",5,3,"Life Sciences",785,"Male",1,"Laboratory Technician","Single",23190,3,18,0,7,4,5,0,3,3,3,3,2,3,6.60361956521739,31,0,4
"786",53,"No","Travel_Rarely","Research & Development",2,4,"Technical Degree",786,"Male",2,"Manager","Single",116910,4,20,0,35,2,9,8,8,4,2,2,3,4,6.90973765432099,27,0,3
"787",49,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",787,"Male",3,"Laboratory Technician","Married",53240,2,19,0,20,2,3,1,2,1,3,2,1,3,6.78387390502536,20,0,3
"788",40,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences",788,"Male",3,"Laboratory Technician","Divorced",167520,2,18,1,8,3,3,1,2,3,3,4,3,3,6.51381018518518,21,0,3
"789",44,"No","Travel_Rarely","Research & Development",5,1,"Other",789,"Male",3,"Research Scientist","Single",52280,1,13,0,6,2,5,1,3,4,2,2,4,3,6.92372723132969,17,0,3
"790",33,"No","Travel_Frequently","Human Resources",10,3,"Medical",790,"Female",2,"Sales Executive","Married",27000,0,14,3,5,2,4,0,3,4,1,3,3,3,7.28843487394958,23,5,3
"791",34,"No","Travel_Rarely","Research & Development",10,4,"Life Sciences",791,"Female",1,"Sales Representative","Single",192460,3,15,1,15,5,13,3,12,4,1,3,3,3,6.88024129001883,25,0,3
"792",30,"No","Travel_Rarely","Sales",1,2,"Technical Degree",792,"Male",1,"Laboratory Technician","Married",25060,8,22,0,4,3,2,2,2,4,3,2,3,4,6.05878661087866,22,0,3
"793",42,"No","Travel_Frequently","Research & Development",8,4,"Medical",793,"Female",1,"Sales Executive","Single",60620,1,22,2,12,2,12,5,8,1,4,3,3,4,7.30003915810083,34,0,4
"794",44,"No","Travel_Frequently","Research & Development",5,3,"Life Sciences",794,"Female",5,"Manufacturing Director","Married",43820,7,16,2,11,2,1,0,0,1,3,2,3,3,7.57975071225071,27,16,3
"795",30,"No","Non-Travel","Research & Development",8,3,"Life Sciences",795,"Male",1,"Manufacturing Director","Divorced",21430,1,17,1,1,2,1,0,0,3,3,2,3,3,6.09478140096618,31,0,3
"796",57,"No","Travel_Rarely","Sales",2,1,"Life Sciences",796,"Male",3,"Research Scientist","Married",61620,0,14,0,13,5,12,2,8,2,3,2,2,3,7.58028623188406,31,19,3
"797",49,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",797,"Female",2,"Sales Executive","Divorced",50940,3,15,0,29,5,8,0,7,3,2,3,3,3,6.8936711393597,25,0,3
"798",34,"No","Travel_Frequently","Research & Development",2,4,"Medical",798,"Female",2,"Sales Representative","Divorced",68770,7,20,0,16,3,14,6,9,2,1,2,3,4,6.30539786511402,32,0,3
"799",28,"Yes","Travel_Frequently","Research & Development",2,3,"Medical",799,"Male",1,"Research Scientist","Married",22740,3,20,1,5,5,3,1,2,1,3,4,3,4,6.53802823315118,17,0,3
"801",34,"Yes","Travel_Rarely","Research & Development",7,1,"Medical",801,"Male",1,"Research Scientist","Single",62880,0,15,1,16,2,15,10,10,1,2,4,3,3,8.51282369146005,19,234,3
"802",35,"No","Travel_Rarely","Sales",7,4,"Other",802,"Female",4,"Healthcare Representative","Married",25530,1,14,1,1,4,1,0,0,4,3,3,2,3,6.60229197258933,34,0,4
"803",24,"Yes","Travel_Frequently","Sales",3,3,"Life Sciences",803,"Male",2,"Research Scientist","Single",76540,2,17,1,4,3,0,0,0,2,1,2,2,3,8.52181092036242,28,226,3
"804",24,"No","Non-Travel","Research & Development",10,3,"Life Sciences",804,"Female",2,"Manager","Married",51600,1,17,1,1,3,1,0,0,4,2,3,1,3,7.35050674105067,22,4,3
"805",44,"No","Travel_Frequently","Research & Development",5,2,"Medical",805,"Female",2,"Research Scientist","Single",171590,5,22,1,16,1,2,2,2,2,3,2,2,4,10.292641746685,18,243,3
"806",29,"No","Travel_Rarely","Sales",10,2,"Life Sciences",806,"Female",1,"Sales Executive","Divorced",128080,1,13,0,10,6,10,0,4,3,3,3,3,3,7.03019090077732,18,0,3
"807",30,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",807,"Male",3,"Sales Executive","Divorced",102210,0,19,1,6,2,5,1,3,3,3,4,3,3,6.10149678604224,19,0,3
"808",55,"No","Travel_Rarely","Sales",20,3,"Marketing",808,"Male",2,"Research Scientist","Married",47790,0,14,1,4,6,3,1,2,4,3,3,3,3,10.6911572104019,26,235,4
"809",33,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",809,"Male",2,"Research Scientist","Married",37370,8,22,2,8,2,5,0,2,1,2,3,3,4,7.89853938979964,17,89,3
"810",47,"No","Travel_Rarely","Research & Development",8,4,"Medical",810,"Female",2,"Sales Representative","Married",23660,3,17,0,11,5,5,1,2,3,3,2,2,3,10.849712962963,21,240,3
"811",28,"Yes","Travel_Frequently","Sales",1,3,"Marketing",811,"Male",2,"Laboratory Technician","Single",17060,7,12,0,8,3,0,0,0,3,1,2,3,3,7.58886270491803,17,24,3
"812",28,"No","Travel_Rarely","Sales",8,4,"Marketing",812,"Male",1,"Laboratory Technician","Divorced",163070,1,16,0,1,3,1,0,0,1,3,1,2,3,6.12264467592593,21,0,3
"813",28,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",813,"Female",2,"Sales Executive","Single",59330,0,11,0,5,3,4,1,3,3,1,3,3,3,6.96241678903573,34,0,3
"814",49,"No","Travel_Rarely","Research & Development",5,4,"Life Sciences",814,"Female",1,"Research Scientist","Married",34240,4,11,0,10,3,3,1,2,3,1,3,3,3,6.40001192179304,28,0,3
"815",29,"No","Travel_Frequently","Research & Development",8,1,"Medical",815,"Male",1,"Research Scientist","Married",40370,0,14,0,4,2,3,0,2,4,2,3,1,3,7.12150614754098,17,0,3
"816",28,"No","Travel_Rarely","Research & Development",5,1,"Technical Degree",816,"Male",2,"Laboratory Technician","Married",25590,1,11,0,8,3,8,1,7,3,2,2,2,3,5.97350603864734,31,0,3
"817",33,"No","Travel_Rarely","Research & Development",15,4,"Life Sciences",817,"Female",1,"Sales Executive","Single",62010,2,15,3,14,2,0,0,0,4,3,3,2,3,8.45930495430495,30,219,3
"818",32,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",818,"Female",3,"Laboratory Technician","Single",44030,2,20,0,10,3,5,0,0,3,4,4,2,4,7.42421083217108,22,9,3
"819",54,"No","Travel_Frequently","Sales",10,3,"Life Sciences",819,"Female",4,"Research Scientist","Divorced",37610,3,12,0,26,3,14,1,12,2,4,3,2,3,7.00041666666667,33,0,3
"820",29,"Yes","Travel_Rarely","Research & Development",5,3,"Life Sciences",820,"Female",2,"Research Scientist","Single",109340,6,17,2,11,2,9,0,7,1,1,1,3,3,6.52320078377132,20,0,3
"821",44,"No","Travel_Rarely","Sales",26,1,"Marketing",821,"Male",1,"Sales Representative","Married",107610,3,11,1,24,5,20,14,17,4,1,4,2,3,7.88176128093159,32,78,4
"822",39,"No","Travel_Rarely","Sales",6,1,"Technical Degree",822,"Female",2,"Laboratory Technician","Single",51750,4,17,1,9,2,2,2,2,2,2,3,4,3,7.12511086744639,33,0,3
"823",46,"No","Travel_Rarely","Research & Development",4,2,"Life Sciences",823,"Male",3,"Manufacturing Director","Married",138260,8,11,0,23,1,13,5,1,3,2,4,2,3,7.02354426002766,20,0,3
"824",35,"No","Travel_Rarely","Research & Development",23,4,"Life Sciences",824,"Male",2,"Research Scientist","Single",63340,1,14,0,11,2,11,3,3,4,2,1,4,3,6.20376880155264,32,0,3
"825",23,"No","Travel_Rarely","Research & Development",2,4,"Medical",825,"Female",2,"Manager","Single",49360,0,19,1,5,2,4,1,2,1,3,3,2,3,7.7095987654321,27,40,3
"826",40,"Yes","Travel_Rarely","Research & Development",2,3,"Medical",826,"Male",2,"Research Director","Single",47750,3,15,1,15,3,5,1,0,4,1,1,4,3,7.62085024154589,31,22,3
"827",34,"No","Travel_Rarely","Human Resources",2,3,"Human Resources",827,"Male",2,"Manufacturing Director","Married",28180,1,13,1,10,2,10,8,6,4,3,3,3,3,10.2899667616334,27,234,3
"828",31,"Yes","Travel_Frequently","Research & Development",29,3,"Life Sciences",828,"Female",2,"Healthcare Representative","Single",25150,1,14,0,7,3,7,7,7,4,3,1,2,3,6.3646038647343,31,0,4
"829",50,"No","Travel_Frequently","Research & Development",6,3,"Medical",829,"Male",1,"Manager","Single",23420,1,12,1,32,2,32,13,9,3,4,3,2,3,9.98371468926554,25,236,3
"830",34,"No","Travel_Rarely","Sales",25,5,"Marketing",830,"Female",1,"Research Scientist","Married",41940,0,17,2,12,3,11,5,7,2,3,3,3,3,10.4942516762452,29,232,3
"831",42,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",831,"Female",1,"Manufacturing Director","Married",106850,4,11,3,4,2,1,0,0,3,2,3,3,3,6.59575347222222,21,0,3
"832",37,"No","Travel_Rarely","Research & Development",2,2,"Medical",832,"Male",1,"Research Scientist","Married",20220,1,12,0,10,1,10,3,7,1,4,3,3,3,8.00649591149591,30,123,4
"833",29,"No","Travel_Rarely","Research & Development",1,3,"Medical",833,"Female",1,"Manager","Married",23140,3,13,0,9,5,7,0,7,3,1,3,4,3,6.20224673202614,23,0,3
"834",33,"No","Travel_Rarely","Research & Development",1,1,"Life Sciences",834,"Male",1,"Research Scientist","Single",42560,1,13,3,5,1,5,0,2,4,2,3,3,3,7.20855030996662,28,0,3
"835",45,"No","Travel_Rarely","Sales",3,3,"Life Sciences",835,"Male",3,"Laboratory Technician","Married",35800,4,20,1,8,1,5,0,3,4,4,3,2,4,6.04475360297536,22,0,3
"836",42,"No","Travel_Frequently","Human Resources",1,4,"Technical Degree",836,"Male",2,"Manufacturing Director","Married",31620,2,17,2,24,1,20,13,9,4,4,1,3,3,8.06789617486339,17,142,3
"837",40,"No","Travel_Rarely","Sales",10,1,"Life Sciences",837,"Female",1,"Manufacturing Director","Married",65240,0,13,1,9,2,8,7,1,1,1,4,4,3,6.32311499771376,18,0,3
"838",33,"No","Travel_Rarely","Research & Development",9,3,"Medical",838,"Female",2,"Manufacturing Director","Married",28990,1,17,0,15,3,15,5,7,2,3,3,2,3,10.6172876492195,19,242,3
"839",40,"No","Travel_Rarely","Sales",5,5,"Life Sciences",839,"Male",1,"Manufacturing Director","Single",52310,1,12,2,21,4,21,7,7,3,4,3,3,3,8.43215391621129,17,226,3
"840",24,"No","Travel_Rarely","Sales",10,2,"Marketing",840,"Male",1,"Manufacturing Director","Divorced",23560,0,13,0,2,5,1,0,0,3,1,3,3,3,6.09618227731864,19,0,3
"841",40,"No","Non-Travel","Research & Development",7,3,"Medical",841,"Male",1,"Research Scientist","Divorced",28000,3,12,2,8,0,2,2,2,4,4,3,2,3,8.38279384756657,19,221,3
"842",45,"No","Travel_Rarely","Research & Development",4,3,"Medical",842,"Female",3,"Laboratory Technician","Divorced",118360,1,22,0,10,2,10,7,7,1,2,3,4,4,6.59462611345523,24,0,3
"843",35,"No","Travel_Rarely","Research & Development",10,1,"Life Sciences",843,"Male",1,"Healthcare Representative","Married",109030,0,11,0,6,3,5,4,2,2,3,3,4,3,7.77234075670498,29,55,3
"844",32,"No","Travel_Rarely","Research & Development",22,4,"Medical",844,"Male",1,"Sales Executive","Married",29730,3,22,0,12,0,7,2,5,4,2,3,4,4,7.27428999538958,20,3,3
"845",36,"No","Travel_Rarely","Sales",9,3,"Marketing",845,"Female",4,"Research Scientist","Single",142750,3,18,1,7,5,3,1,2,3,4,2,2,3,9.08953210382514,17,244,3
"846",48,"No","Travel_Rarely","Research & Development",12,4,"Medical",846,"Male",1,"Laboratory Technician","Divorced",55620,8,13,1,18,2,8,7,7,3,3,3,3,3,7.85965072667604,24,80,3
"848",33,"No","Travel_Rarely","Research & Development",9,1,"Medical",848,"Male",1,"Healthcare Representative","Married",76420,2,20,1,8,2,2,2,2,1,1,1,2,4,7.10877611585945,27,0,3
"849",30,"Yes","Travel_Rarely","Research & Development",1,3,"Other",849,"Male",3,"Sales Executive","Married",179240,1,13,2,10,2,10,6,7,2,1,3,3,3,7.37632217370209,32,4,3
"850",38,"No","Travel_Frequently","Sales",9,3,"Marketing",850,"Male",1,"Manufacturing Director","Married",52040,3,13,1,10,2,6,1,2,3,3,3,3,3,6.92882264063226,22,0,3
"851",35,"No","Travel_Rarely","Sales",7,2,"Life Sciences",851,"Male",1,"Sales Executive","Single",22770,1,12,1,3,2,3,1,2,4,1,3,3,3,6.80815801457195,17,0,3
"852",30,"No","Travel_Rarely","Research & Development",14,3,"Technical Degree",852,"Male",5,"Research Director","Married",27950,3,13,0,9,4,4,1,3,3,2,3,3,3,6.50089890319504,28,0,3
"853",35,"Yes","Travel_Rarely","Research & Development",2,3,"Medical",853,"Female",1,"Research Scientist","Divorced",25320,1,13,0,1,2,1,0,0,1,1,3,1,3,9.6848599137931,29,232,4
"854",53,"Yes","Travel_Rarely","Research & Development",19,3,"Life Sciences",854,"Male",2,"Manager","Married",25590,0,25,0,34,2,33,1,9,3,4,3,3,4,6.50808173952641,17,0,3
"855",38,"Yes","Travel_Rarely","Research & Development",2,3,"Medical",855,"Female",3,"Sales Executive","Married",49080,4,19,1,7,3,5,1,4,3,2,3,2,3,7.60015317786923,18,22,3
"856",32,"No","Non-Travel","Research & Development",10,4,"Life Sciences",856,"Female",5,"Research Scientist","Married",23800,4,13,0,9,5,6,1,2,4,1,2,3,3,7.38128205128205,27,4,5
"857",48,"No","Travel_Rarely","Research & Development",2,5,"Life Sciences",857,"Male",1,"Sales Executive","Married",47650,8,12,1,10,4,8,7,6,3,1,2,3,3,7.11200550766284,29,2,4
